Verb_from_#e      	PoS_from_#e       	Rukai_gloss                 	Eng_gloss

Rukai             	JJ                	<L2MRukaizu                 	Rukai
Rukai             	JJ                	Ngudradrekai                	Rukai
Rukai             	JJ                	Ngudradrekai,\              	Rukai
Rukai             	JJ                	Ngudradrekay                	Rukai
Rukai             	JJ                	Ngudradrekay,\              	Rukai
Rukai             	JJ                	Ngudradrekay,_              	Rukai
Rukai             	JJ                	Ngudradrekay-ane,\          	Rukai-NMLZ
Rukai             	JJ                	Ngudradrekay-ane.\          	Rukai-NMLZ
Rukai             	JJ                	Ngudradrekay.\              	Rukai
Rukai             	JJ                	Rukai                       	Rukai
Rukai             	JJ                	ngudradrekai                	Rukai
Rukai             	JJ                	ngudradrekai,\              	Rukai
Rukai             	JJ                	ngudradrekay                	Rukai
Rukai             	JJ                	ngudrekadrekay              	Rukai
STAT              	None              	a-belenge                   	STAT-tall
STAT              	None              	ka-tuase                    	STAT-leave
able              	JJ                	pikakua                     	able
accept            	JJ,VB             	ma-palrailraingi,_          	REC-accept
accept            	JJ,VB             	ma-palralraingi=nga         	REC-accept=PFV
agree             	JJ,VB             	ngupangalre                 	agree
angry             	JJ                	ka-lisi                     	STAT.IRR-angry
angry             	JJ                	lingisi.\                   	angry
angry             	JJ                	pua-ka-lisi-lisi.\          	toward-STAT.IRR-RED-angry
approch           	VBP               	adethe=su                   	approch=2S.BN
arrive            	VB,VBP            	sa-kela                     	when-arrive
arrive            	VB,VBP            	sa-kela=nga                 	when-arrive=PFV
ask               	VB                	cucunu                      	ask
ask               	VB                	ki-a-vavavaga               	PASS-RLS-ask
ask               	VB                	ki-vagana                   	PASS-ask
ask               	VB                	tara-kia-vaga               	NEC.MOD-PASS-ask
attack            	VB                	maka-thau-thauru._          	REC-RED-attack
attack            	VB                	wa-urikai                   	REAL-attack
bad               	JJ                	ki-lisi-ane                 	KI-bad-NMZ
bad               	JJ                	lisi                        	bad
bad               	JJ                	ma-li<li>si,_               	STAT.RLS-<RED>bad
bad               	JJ                	ma-lisi                     	STAT.RLS-bad
bad               	JJ                	ma-lisi,\                   	STAT.RLS-bad
bad               	JJ                	maka-li-lisi.\              	REC-RED-bad
bad               	JJ                	ngi-a-lisi-ane              	NGI-A-bad-NMLZ
bad               	JJ                	ngi-lisi-ane.\              	manner-bad-NMLZ
bad               	JJ                	ngi-lisianane               	REFL-bad
bad               	JJ                	ngia-lisi-ane.\             	more-bad-NMLZ
bad               	JJ                	ta-u-lisi-ane               	LOC-go-bad-NMLZ
bad               	JJ                	ta-u-lisi-si-ane            	LOC-go-bad-RED-NMLZ
bad               	JJ                	ta-u-lrisi-ane,\            	NMLZ-become-bad-NMLZ
bad               	JJ                	ta-u-lrisi-ane,\            	NMLZ-in-bad-NMLZ
bad               	JJ                	tu-a-li-li-lisi.\           	TU-REAL-RED-RED-bad
bamboo            	JJ                	balebale                    	bamboo
bamboo            	JJ                	palebale                    	bamboo
be                	VB                	a-ma-lri=nga                	why-STAT.RLS-be=PFV
be                	VB                	amani                       	be
be                	VB                	ka-amani                    	STAT.IRR-be
be                	VB                	ka-amani=nga                	STAT.IRR-be=PFV
be                	VB                	kamani                      	be
be                	VB                	kamani                      	STAT.IRR-be
be                	VB                	maru-amani=nga              	MARU-be=PFV
be                	VB                	shi                         	be
beautiful         	JJ                	au-ka-thariri=nga           	become-STAT.IRR-beautiful=PFV
beautiful         	JJ                	ka-thariri=nga              	STAT.IRR-beautiful=PFV
beautiful         	JJ                	ma-thariri                  	STAT.RLS-beautiful
become            	VB,VBP            	a-ngi-ta<lai>laisi.\        	become-REFL-<RED>swing
become            	VB,VBP            	a-sa-sane-nga               	become-RED-modern=PFV
become            	VB,VBP            	a-umaumase=nga              	become-human=PFV
become            	VB,VBP            	a=naw=umaumase              	become=1S.BN=human
become            	VB,VBP            	au-ka-thariri=nga           	become-STAT.IRR-beautiful=PFV
become            	VB,VBP            	kilrimu                     	become
become            	VB,VBP            	kirimu-nga==,\              	become-PFV
become            	VB,VBP            	kula                        	become
become            	VB,VBP            	ma-tuki                     	MA-become
become            	VB,VBP            	ta-u-lrisi-ane,\            	NMLZ-become-bad-NMLZ
bee               	JJ                	la-tumu                     	P-bee
bee               	JJ                	sigu                        	bee
bee               	JJ                	tumu                        	bee
belong            	VB                	sua                         	belong
big               	JJ                	TU-adrau                    	TU-big
big               	JJ                	kadraw-ane                  	big-NMLZ
big               	JJ                	ma-adrau                    	STAT.RLS-big
big               	JJ                	ma-adrau-drau               	STAT.RLS-big-RED
big               	JJ                	ma-drau.\                   	STAT.RLS-big.
big               	JJ                	ngu-adrau                   	from-big
big               	JJ                	tu-adrau                    	TU-big
boy               	JJ,VBD            	la-lasu                     	P-boy
boy               	JJ,VBD            	la-malalala,_               	PL-boy
boy               	JJ,VBD            	lasu                        	boy
boy               	JJ,VBD            	lasu.\                      	boy
boy               	JJ,VBD            	nanhaizi                    	boy
boy               	JJ,VBD            	sauvalay                    	boy
bring             	VB                	il-il-iluku.\               	RED-RED-bring
bring             	VB                	il-iluku                    	RED-bring
bring             	VB                	iluku                       	bring
bring             	VB                	iluku,\                     	bring
bring             	VB                	iluku,_                     	bring
bring             	VB                	iluku-lini                  	bring-3P.BG
bring             	VB                	iluku=ini                   	bring=3S.BG
bring             	VB                	iluku=li                    	bring=1S.BG
bring             	VB                	lri-tara-iluku=su           	FUT-NEC.MOD-bring=2S.BN
bring             	VB                	ma-il-iluku                 	MA-RED-bring
bring             	VB                	ma-iluku                    	STAT.RLS-bring
bring             	VB                	ma-sa-ngi-iluku             	MA-when-REFL-bring
bring             	VB                	mualru                      	bring
bring             	VB                	mualru=nay                  	bring=1P(EX).BN
bring             	VB                	sa-iluku-ane                	when-bring-NMLZ
broken            	VBN               	ka-cuake                    	STAT.IRR-broken
broken            	VBN               	ka-pilutu                   	STAT.IRR-broken
broken            	VBN               	sa-ka-pilutu                	when-STAT.IRR-broken
bump              	VB                	ma-dra-dresenge=ini         	MA-Ca-bump=3SG.GEN
bump              	VB                	ma-dradresengel=ini         	MA-bump-3PL.GEN
bump              	VB                	ma-dre-dresenge             	MA-RED-bump
bump              	VB                	ma-pa-pungupungu            	RECP-CAUS-bump
bump              	VB                	mu-a-pungupungu             	go-RLS-bump
bump              	VB                	ngu-cungu-cungu             	go-RED-bump
bump              	VB                	ngu-pungupungu              	manner-bump
bump              	VB                	ucucusu                     	bump
busy              	JJ                	w-a-the-the-thengete        	ACT-RLS-RED-RED-busy
buy               	VBP               	ki-langadh=aku              	PASS-buy=1SG.NOM
buy               	VBP               	ki-langadha                 	PASS-buy
buy               	VBP               	ki-langai.\                 	PASS-buy
buy               	VBP               	langadha                    	buy
capable           	JJ                	itulru                      	capable
capable           	JJ                	ma-kadulru=su,\             	STAT.RLS-capable=2S.BN
capable           	JJ                	rakaca-ane                  	capable-NMLZ
capable           	JJ                	w-a-dulru                   	ACT-RLS-capable
capable           	JJ                	wa-dulru                    	RLS-capable
careless          	JJ                	pa-tuatuma                  	CAUS-careless
carry             	VB,VBP            	ililuku=ini                 	carry=3PL.GEN
carry             	VB,VBP            	iluku                       	carry
carry             	VB,VBP            	iluku,                      	carry
carry             	VB,VBP            	ki                          	carry
carry             	VB,VBP            	ta-si-amece-ane             	NMLZ-carry-things.being.shouldered-NMLZ
